iter	Passed	Remaining
0	5	1103
1	9	934
2	13	876
3	17	834
4	20	812
5	24	793
6	28	783
7	34	817
8	38	806
9	42	808
10	45	790
11	50	783
12	53	767
13	57	758
14	61	752
15	65	755
16	69	750
17	73	745
18	78	744
19	82	743
20	86	740
21	90	736
22	94	728
23	98	722
24	102	716
25	106	710
26	110	708
27	116	713
28	120	712
29	125	710
30	130	711
31	136	718
32	141	717
33	146	714
34	151	714
35	155	708
36	160	706
37	166	710
38	170	705
39	175	700
40	179	696
41	183	690
42	187	686
43	192	683
44	198	683
45	202	679
46	207	675
47	210	668
48	215	664
49	220	662
50	226	661
51	231	658
52	235	652
53	239	646
54	243	641
55	247	637
56	252	634
57	262	642
58	283	677
59	294	688
60	307	699
61	312	695
62	318	692
63	322	685
64	330	686
65	336	682
66	340	676
67	361	702
68	500	949
69	503	935
70	508	923
71	510	907
72	513	893
73	516	879
74	519	865
75	521	851
76	524	838
77	527	824
78	529	811
79	532	799
80	535	786
81	537	773
82	540	762
83	543	750
84	546	739
85	550	729
86	553	719
87	556	708
88	559	697
89	563	688
90	566	678
91	569	668
92	573	659
93	578	652
94	582	644
95	587	636
96	593	630
97	597	622
98	602	614
99	606	606
100	610	598
101	614	590
102	618	582
103	623	575
104	627	567
105	631	559
106	635	552
107	641	546
108	645	539
109	651	532
110	656	526
111	661	519
112	666	513
113	671	506
114	676	500
115	681	493
116	686	486
117	690	480
118	695	473
119	700	466
120	705	460
121	709	453
122	713	446
123	718	440
124	723	434
125	728	427
126	732	421
127	737	414
128	741	408
129	744	400
130	747	393
131	751	386
132	753	379
133	757	372
134	759	365
135	763	359
136	767	352
137	770	346
138	773	339
139	776	332
140	779	326
141	782	319
142	785	313
143	789	306
144	792	300
145	795	294
146	799	288
147	802	281
148	805	275
149	809	269
150	812	263
151	816	257
152	820	252
153	825	246
154	838	243
155	843	237
156	847	232
157	852	226
158	855	220
159	859	214
160	863	209
161	867	203
162	870	197
163	873	191
164	876	185
165	879	180
166	882	174
167	885	168
168	888	162
169	892	157
170	894	151
171	897	146
172	900	140
173	903	134
174	905	129
175	908	123
176	911	118
177	914	113
178	917	107
179	921	102
180	924	96
181	926	91
182	930	86
183	934	81
184	937	75
185	940	70
186	943	65
187	946	60
188	949	55
189	951	50
190	954	44
191	957	39
192	961	34
193	964	29
194	967	24
195	970	19
196	973	14
197	975	9
198	979	4
199	981	0
